count_http,count_https,countdot,count-,count_,counttilde,domain_age,regis_length,SSL_certificate,type
0,0,2,2,0,0,0.9859064046862516,0.8522726105763804,1,0
0,0,3,0,0,0,1.0137184240002706,0.8522726105763804,1,0
1,0,1,10,0,0,-0.0987623485604945,-0.2131130900683646,1,0
1,0,1,8,0,0,1.1342371743610202,1.5945495331567356,1,0
0,0,2,5,0,0,0.9859064046862516,0.8522726105763804,1,0
0,0,1,1,0,0,0.7355982308600794,1.384965460898753,1,0
1,0,1,8,0,0,-0.19146907960722492,-0.3179051261973559,1,0
0,0,2,0,3,0,-0.015326290618437113,0.10999568799602528,1,0
0,0,1,1,0,0,0.9395530391628863,0.7474805744473891,1,0
0,0,1,4,0,0,1.0137184240002706,0.8522726105763804,1,0
0,0,2,0,1,0,-0.015326290618437113,0.10999568799602528,1,0
0,0,2,0,0,0,0.2720645756264272,0.10999568799602528,1,0
0,0,1,0,0,0,0.6243501536040028,1.384965460898753,1,0
0,0,3,10,0,0,0.04029774800960115,0.3195797602540079,1,0
0,0,3,0,0,0,1.922244388258229,1.681876229930895,1,0
0,0,2,3,0,0,-0.5344839844801276,-0.6410139042617458,1,0
0,0,1,1,0,0,0.04029774800960115,-0.10832105393937327,1,0
0,0,2,5,1,0,1.069342462628309,0.9570646467053717,1,0
0,0,1,4,0,0,-0.015326290618437113,-0.0035290178103819653,1,0
1,0,1,10,0,0,-0.849686870039011,-0.8505979765197283,1,0
0,0,2,0,1,0,0.09592178663763941,-0.0035290178103819653,1,0
0,0,2,0,3,0,0.3091472680451194,0.2147877241250166,1,0
0,0,1,8,0,0,0.7819515963834446,0.6339558686409819,1,0
0,0,2,0,0,0,0.23498188320773505,0.10999568799602528,1,0
0,0,1,0,0,0,0.874658327430175,0.7474805744473891,1,0
0,0,1,0,0,0,0.438936691510542,0.3195797602540079,1,0
0,0,1,0,0,0,0.438936691510542,0.3195797602540079,1,0
0,0,2,0,0,0,0.10519245974231245,-0.0035290178103819653,1,0
0,0,2,0,0,0,0.438936691510542,0.4243717963829992,1,0
0,0,3,0,0,0,0.5316434225572725,0.5291638325119905,1,0
1,0,1,12,0,0,1.3752746750825193,1.5945495331567356,1,0
0,0,2,0,0,0,0.23498188320773505,0.10999568799602528,1,0
0,0,1,0,0,0,-0.3305291761773206,-0.4226971623263472,1,0
1,0,1,2,1,0,-0.9145815817717223,-0.9553900126487197,1,0
0,0,1,0,1,0,0.9673650584769055,1.8041336054147181,1,0
0,0,2,5,0,0,0.6799741922320411,0.5640945112216543,1,0
0,0,1,0,0,0,0.08665111353296637,-0.0035290178103819653,1,0
0,0,1,4,0,0,1.0137184240002706,0.8522726105763804,1,0
0,0,1,0,0,0,-1.9714383157044493,-2.0207757132934647,1,0
0,0,1,4,0,0,-0.024596963723110158,-0.10832105393937327,1,0
0,0,2,0,0,0,0.661432846022695,0.5291638325119905,1,0
0,0,2,2,0,0,0.3091472680451194,0.3195797602540079,1,0
0,0,2,0,0,0,0.46674871082456115,0.3195797602540079,1,0
